Group,String,Average Count,Average Percentage
G1,MAC,419.7368421052632,3.8798185762441846
G1,B_Cells,2331.0789473684213,20.670684956770632
G1,CD4_T_cell,3852.4736842105262,32.07808520194689
G1,Stroma,328.39473684210526,3.4674962001414578
G1,CD8_T_cell,1263.6315789473683,11.277595051174496
G1,Memory_CD4_T_Cells,1455.7105263157894,12.199874226906708
G1,blood vessels,161.10526315789474,1.5680334351856866
G1,DCs,323.9736842105263,2.9017498532928707
G1,NK cell,44.026315789473685,0.3750456571900833
G1,Neutrophil,61.6578947368421,0.5583096836847968
G1,Hevs,305.6578947368421,2.577138331459483
G1,CD4_Treg,136.60526315789474,1.1700539364246276
G1,Germinal_Center_B_Cell,820.078947368421,7.275367864019553
G1,Immune,0.07894736842105263,0.0007470255585266776
G2,CD4_T_cell,3332.75,31.55432659746745
G2,Germinal_Center_B_Cell,380.5,4.080597366609751
G2,B_Cells,2168.95,24.63797402317046
G2,CD8_T_cell,913.775,8.844261678705756
G2,Memory_CD4_T_Cells,878.375,8.691604649175632
G2,Hevs,282.825,2.652681650731989
G2,MAC,739.475,8.717331574631134
G2,Stroma,304.9,3.792233115195816
G2,DCs,210.775,2.826548547217841
G2,blood vessels,206.775,2.332738267612964
G2,NK cell,32.35,0.3532315543612068
G2,Neutrophil,67.2,0.9354449487121427
G2,CD4_Treg,50.575,0.5602417006822085
G2,Immune,0.1,0.0029191512652161295
G2,tumor,0.325,0.01786517446042945
G3,CD4_T_cell,2480.3023255813955,26.15604124753058
G3,Memory_CD4_T_Cells,822.4651162790698,9.211164038649944
G3,MAC,335.86046511627904,4.019394185899103
G3,CD8_T_cell,897.4651162790698,10.093471570262393
G3,tumor,505.6744186046512,9.828188217656841
G3,B_Cells,1909.3720930232557,21.173672418192645
G3,DCs,221.04651162790697,2.6742171395571006
G3,Stroma,221.1860465116279,3.3497737188458436
G3,Hevs,196.48837209302326,2.1455973506770745
G3,blood vessels,121.79069767441861,1.7522507245396302
G3,NK cell,28.232558139534884,0.38439400026757486
G3,CD4_Treg,124.86046511627907,1.722306832685493
G3,Neutrophil,65.88372093023256,0.8280144052251284
G3,Germinal_Center_B_Cell,569.0930232558139,6.531937140566407
G3,CD3,13.627906976744185,0.12791481083667144
G3,Immune,0.06976744186046512,0.0016621986075678297
G4,CD4_T_cell,1961.75,25.460481947842517
G4,B_Cells,1642.0166666666667,23.704824131516435
G4,CD8_T_cell,557.8833333333333,7.927982600579276
G4,Memory_CD4_T_Cells,627.5166666666667,8.893316370560255
G4,Germinal_Center_B_Cell,395.6333333333333,5.294070604173126
G4,Hevs,142.7,1.7760924300889422
G4,MAC,366.7,6.202643247019916
G4,CD4_Treg,53.6,0.8528271595409546
G4,DCs,192.88333333333333,2.927221522755155
G4,NK cell,23.966666666666665,0.33492600752778784
G4,Stroma,263.9,4.687171087242309
G4,Neutrophil,74.06666666666666,1.3444131130497998
G4,blood vessels,140.83333333333334,3.1703150901857
G4,tumor,304.9,7.407078820422825
G4,CD3,1.3333333333333333,0.01409423782162646
G4,Immune,0.13333333333333333,0.002541629673374019
